subject,verb,obj
disease severity,!link,none of the autoantibody levels
bystander polyclonal B cell activation,associate,36086941|t|COVID-19
disease severity,!link,none
mild disease outcome,associate,term humoral immunity against HCOV-22E spike protein
36087607 1214 1222 Disease MESH : association,combat,ecosystem restoration
the health issues,combat,ecosystem restoration
COVID-19,associate,"be , results suggest"
current responses to the disease,integrate,it
the heterogeneity of in different countries,emphasise,the study results
regional heterogeneity of effects on COVID-19 transmission,underline,this study
36087670 2223 2231 Disease MESH :,underline,this study
36087764 patients Species 	 Man,elaborate,we
prospective clinical trials,conduct,the need
individualized management strategies in this population,develop,the need
"resistance training on maximal exercise tolerance , fatigue",associate,continuous aerobic training
this disease,cause,the damage
DeltaMort cause DeltaMort,total,the two largest contributors
an membrane oxygenation device,employ,It
acute failure patients,treat,( ECMO ) device
clinical COVID-19 syndrome : study,spectroscopy,36089591|t|Cardiovascular resonance imaging
36089591 180 204 coronavirus disease MESH : C000657245,emerge,demand
candidate mechanisms,emerge,demand
36089591 180 204 coronavirus disease MESH : C000657245,emerge,state
candidate mechanisms,emerge,state
clinical COVID-19 syndrome : study,spectroscopy,resonance imaging
insight,provide,Cardiovascular magnetic resonance ( CMR )
pathophysiological mechanisms,provide,Cardiovascular magnetic resonance ( CMR )
cardiovascular disease,underlie,pathophysiological mechanisms
clinical COVID-19 syndrome : study,spectroscopy,resonance imaging
healthy controls,match,prior disease ( CVD )
31P - CMRS,undergo,A total of 20 patients with a clinical diagnosis of long COVID-19 syndrome seropositive
36089591 patients Species 	 36089591,undergo,A total of
869 	,undergo,A total of
Disease MESH :,undergo,A total of
36089591 950 953 Disease MESH :,undergo,A total of
36089786|t|Cytokine storm,undergo,A total of
3 T,undergo,A total of
a single time point,undergo,A total of
neuropathological alterations,undergo,A total of
31P - CMRS,undergo,prior disease ( CVD )
36089591 patients Species 	 36089591,undergo,prior disease ( CVD )
869 	,undergo,prior disease ( CVD )
Disease MESH :,undergo,prior disease ( CVD )
36089591 950 953 Disease MESH :,undergo,prior disease ( CVD )
36089786|t|Cytokine storm,undergo,prior disease ( CVD )
3 T,undergo,prior disease ( CVD )
a single time point,undergo,prior disease ( CVD )
neuropathological alterations,undergo,prior disease ( CVD )
"Alzheimer disease , disease",include,"neurodegenerative diseases ,"
patients risk,increase,"The association of with the pathogenesis of neurodegenerative diseases ,"
neurodegenerative diseases,develop,patients risk
the early detection of disease exacerbation,contribute,Analysis of proinflammatory cytokines
the early detection of,contribute,CSF biomarkers in patients with
people,offer,Vaccines
an effective protection against severe COVID-19 disease courses,offer,Vaccines
multiple sclerosis PwMS,offer,Vaccines
anosmia,induce,36090519 people Species 	 9606 MESH D009103 36090519 263 MESH :
anosmia,induce,C000657245 36090590|t|Resolution of
COVID-19 disease,follow,Persistent anosmia
a significant subset of patients,affect,Background
36090590 94 101 Disease MESH : MESH,affect,Background
the COVID-19,affect,Background
Pandemic,affect,Background
a significant subset of,affect,Persistent anosmia
36090590 94 101 Disease MESH : MESH,affect,Persistent anosmia
the COVID-19,affect,Persistent anosmia
Pandemic,affect,Persistent anosmia
morbidity,suggest,The evidence
mortality,suggest,The evidence
a chronic disease,have,"Female gender ,"
violence,experience,"Female gender ,"
other factors,experience,"Female gender ,"
tomography ( CT ),derive,Quantitative lung measures
prognostication in coronavirus disease 2019 patients,improve,Quantitative lung measures
mild COVID-19,protect,vaccines
evidence,summarize,This third interim analysis of a review
the effectiveness of vaccine,summarize,This third interim analysis of
mild COVID-19,protect,vaccines
significant implications for ongoing research,have,"The recent discovery protects against ,"
36091032 331 Disease MESH :,have,"The recent discovery protects against ,"
the immune mechanisms are,have,"The recent discovery protects against ,"
a solid host defense against Mycobacterium tuberculosis ( Mtb ),generate,the immune mechanisms are
36091032 1365 1387 Disease MESH : D014397 : mechanisms .,administer,BCG
the intradermal route,administer,BCG
its apparent failure,account,this
memory in the lungs,generate,its apparent failure
the inconsistent level of protection against in adults,generate,its apparent failure
the potential benefits of the ability of,discuss,we
immunity in a non - specific manner,confer,the ability of
a host immunity,stimulate,the ability of
a generalized survival benefit in neonates,result,a host immunity
heterogeneous characteristics in the evolution of across frequencies,reveal,The CWT
COVID-19,associate,potential intrauterine programming impacts
unfortunate health consequences for future generations,result,COVID-19
COVID-19,associate,potential intrauterine programming impacts
"an risk of undesirable health consequences , as non - communicable diseases ,",lead,Such situations
individuals,lead,Such situations
"obesity , syndrome",include,"non - communicable diseases ,"
2 diabetes,type,"hypertension ,"
mothers,bear,individuals
fetal programming,bear,individuals
serum metabolites in COVID-19 patients with,analyze,an untargeted metabolomics approach
millions of people,infect,"be , results suggest"
the topicality of,focus,This article Diseases
complications,assess,the topicality of
diseases of the circulatory system,assess,the topicality of
the COVID-19 pandemic,assess,the topicality of
mortality,assess,the topicality of
the burden of disease,reduce,"In , the necessary measures"
the storm,!come,Calm
36091872 patients Species 	 disease : C000657245,admit,COVID-19 )
36092473|t|NO2 retrievals from,admit,COVID-19 )
the intensive care unit of,admit,COVID-19 )
NO2 total columns,associate,episodes
"limited data on , timing",be,There
36092685 374 Disease MESH : C000657245,be,There
C000657245 Results :,be,There
"diabetes , hypertension",have,African - Americans
"diabetes , hypertension",have,two - thirds of patients
36093336|t|Benchmark datasets for CoV-2 surveillance bioinformatics,spread,"Background : coronavirus , cause"
"capacity , workflows",build,public health laboratories
a new disease,characterize,36093345|t|Coding Long COVID :
an ICD-10 lens,characterize,36093345|t|Coding Long COVID :
Long COVID,include,which
especially challenging,prove,it
the largest available dataset about patients with in,leverage,we
a number of analyses,undertake,We
the N3C population,characterize,analyses
a U09.9 diagnosis code (,characterize,analyses
CoV-2 exposure,follow,signaling
COVID-19 a deadly disease,make,"be , results suggest"
CoV-2 exposure,follow,signaling
new treatment modalities,develop,CoV-2 pathogenesis
COVID-19,develop,CoV-2 pathogenesis
36094472 multisystem inflammatory Disease MESH :,summarize,We
302 	 349,summarize,We
36094472|t|A kiss from to :,summarize,We
multisystem inflammatory syndrome in children,summarize,We
a novel disease,summarize,We
"multisystem inflammatory syndrome in children ( C ) ,",call,a novel disease
several weeks,develop,which
a severe respiratory coronavirus-2 ) illness,develop,which
the rarity of the disease,give,question of .
the innate,induce,hyperinflammation
the disease pathogenesis,present,evidence of molecular mimicry
the effect of,investigate,We
a series analysis,investigate,We
Facebook Prophet,generate,We
forecasting models,generate,We
the monthly numbers of between,base,forecasting models
"the associations of with the development , morbidity",review,we
36097730 355 Disease MESH :,review,we
D003643 368 Disease MESH : D008171 Effects,review,we
the incidence risk of chronic obstructive pulmonary disease ( COPD ),increase,exposure to air pollution
"the incidence of infectious diseases , as",increase,air pollution
36097730 1271 1290 infectious diseases MESH :,increase,air pollution
D001991 1327 1339 Disease MESH : Effects,increase,air pollution
a link between pollution disease 2019 transmission,support,evidence
36097730 1414 1438 coronavirus disease MESH,support,evidence
D003643 36099489|t|The COVID-19 Pandemic,support,evidence
immigrants sleep quality,investigate,The current study
associations,investigate,The current study
pandemic impact,investigate,The current study
racism,investigate,The current study
immigrants sleep quality,investigate,The current study
associations,investigate,The current study
pandemic impact,investigate,The current study
racism,investigate,The current study
disruption,sleep,The current study
a cross - sectional online survey,use,The current study
the development of numerous pathologies,trigger,syndrome ) disease ( COVID-19 ) Rationale
36100326 125 172 severe respiratory syndrome coronavirus-2 Species 	 2697049 MESH : C000657245 : D007239,trigger,syndrome ) disease ( COVID-19 ) Rationale
